name,height,reach,stance,dob,url,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,num_fights
Cody Stamann,"5' 6""","64""",Orthodox,"Nov 09, 1989",http://ufcstats.com/fighter-details/bf7ad5628363eec9,4.03,46.0,3.36,63.0,2.8,44.0,75.0,0.0,10.0
Poliana Botelho,"5' 8""","67""",Orthodox,"Dec 15, 1988",http://ufcstats.com/fighter-details/5c126c6aac3ef364,2.83,57.0,2.75,50.0,0.92,57.0,80.0,0.0,6.0
KB Bhullar,"6' 4""","78""",Switch,"Oct 12, 1991",http://ufcstats.com/fighter-details/9cd047a828dd7515,4.31,49.0,5.39,45.0,0.0,0.0,0.0,0.0,2.0
Luke Sanders,"5' 6""","67""",Southpaw,"Dec 12, 1985",http://ufcstats.com/fighter-details/96428b9e9bd048ea,6.61,52.0,4.37,50.0,0.71,30.0,72.0,0.2,9.0
Jorge Masvidal,"5' 11""","74""",Orthodox,"Nov 12, 1984",http://ufcstats.com/fighter-details/47b9e0e7703a4868,4.22,48.0,3.01,65.0,1.54,59.0,75.0,0.3,27.0
Chris Weidman,"6' 2""","78""",Orthodox,"Jun 17, 1984",http://ufcstats.com/fighter-details/3a8176e15b9887c1,3.03,43.0,3.14,52.0,3.92,47.0,65.0,0.9,17.0
Stefan Sekulic,"6' 0""","75""",Southpaw,"Feb 12, 1992",http://ufcstats.com/fighter-details/348dff4e03bd18c6,1.83,50.0,2.83,64.0,2.0,33.0,25.0,0.5,2.0
Karl Roberson,"6' 1""","74""",Southpaw,"Oct 04, 1990",http://ufcstats.com/fighter-details/37d5b176d438d2a5,2.87,51.0,2.38,57.0,0.92,57.0,45.0,0.7,9.0
Tristan Connelly,"5' 10""","68""",Orthodox,"Dec 12, 1985",http://ufcstats.com/fighter-details/2ebfbe72ed703925,2.77,47.0,1.93,51.0,0.5,14.0,70.0,0.5,2.0
Kevin Natividad,"5' 6""","70""",Orthodox,"Apr 02, 1993",http://ufcstats.com/fighter-details/0c258d1d8e16e5f1,2.63,24.0,4.02,54.0,0.0,0.0,100.0,0.0,2.0
Kazula Vargas,"5' 8""","71""",Southpaw,"Aug 15, 1985",http://ufcstats.com/fighter-details/ec18eb918121787c,3.85,53.0,1.88,58.0,0.44,25.0,25.0,0.4,3.0
Na Liang,"5' 5""","67""",Orthodox,"Jul 27, 1996",http://ufcstats.com/fighter-details/ec0dcceace7d25a3,2.94,70.0,3.71,25.0,6.96,75.0,0.0,2.3,1.0
Robert Whittaker,"6' 0""","73""",Orthodox,"Dec 20, 1990",http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,4.68,41.0,3.34,61.0,0.64,34.0,83.0,0.0,18.0
Jacob Malkoun,"5' 9""","73""",Orthodox,"Aug 26, 1995",http://ufcstats.com/fighter-details/d4270315cbcf2569,1.76,47.0,1.83,51.0,7.84,33.0,0.0,2.0,3.0
Tracy Cortez,"5' 5""","65""",Orthodox,"Dec 10, 1993",http://ufcstats.com/fighter-details/68d4a891e5cf2029,3.85,55.0,2.4,59.0,3.0,46.0,87.0,0.2,4.0
Justine Kish,"5' 5""","64""",Orthodox,"Apr 13, 1988",http://ufcstats.com/fighter-details/928ae2e5b5f7a9ec,4.51,48.0,4.59,57.0,0.87,33.0,50.0,0.1,7.0
Luis Pena,"6' 3""","75""",Southpaw,"Jul 05, 1993",http://ufcstats.com/fighter-details/2844b047183a1adb,3.66,46.0,3.12,51.0,1.17,33.0,48.0,1.2,8.0
Alexander Munoz,"5' 9""","72""",Switch,"Feb 27, 1990",http://ufcstats.com/fighter-details/f8f1ec513bcfef43,3.96,43.0,5.49,52.0,3.0,39.0,0.0,0.0,3.0
Juan Espino,"6' 3""","80""",,"Oct 09, 1980",http://ufcstats.com/fighter-details/ccf5dc41417e9daf,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.4,3.0
Bartosz Fabinski,"6' 0""","75""",Orthodox,"Apr 26, 1986",http://ufcstats.com/fighter-details/e17ac6410c8377f4,2.23,68.0,1.46,51.0,7.1,70.0,80.0,0.0,6.0
Anthony Birchak,"5' 8""","69""",Orthodox,"May 16, 1986",http://ufcstats.com/fighter-details/c5a126ace82a6025,3.93,36.0,3.67,56.0,0.48,14.0,61.0,0.5,6.0
Arnold Allen,"5' 8""","70""",Southpaw,"Jan 22, 1994",http://ufcstats.com/fighter-details/040a74bb0a465c54,2.96,40.0,2.15,66.0,1.44,50.0,76.0,0.4,8.0
Sodiq Yusuff,"5' 9""","71""",Orthodox,"May 19, 1993",http://ufcstats.com/fighter-details/94426bb170c88115,5.43,48.0,3.46,58.0,0.0,0.0,68.0,0.5,6.0
Julian Marquez,"6' 2""","72""",Orthodox,"May 08, 1990",http://ufcstats.com/fighter-details/d0e1b42d41dab603,4.2,45.0,3.13,55.0,0.0,0.0,53.0,3.2,5.0
Nina Nunes,"5' 5""","64""",Orthodox,"Dec 03, 1985",http://ufcstats.com/fighter-details/d343df8ba11f4c4e,4.64,47.0,3.5,53.0,0.28,40.0,76.0,0.6,8.0
Mike Perry,"5' 10""","71""",Orthodox,"Sep 15, 1991",http://ufcstats.com/fighter-details/f2b6fdb20675b11c,4.32,47.0,5.16,52.0,0.81,40.0,78.0,0.2,15.0
Scott Holtzman,"5' 9""","69""",Orthodox,"Sep 30, 1983",http://ufcstats.com/fighter-details/df1eb4354d18a906,4.32,48.0,3.58,53.0,2.07,56.0,66.0,0.2,12.0
John Makdessi,"5' 8""","68""",Orthodox,"May 03, 1985",http://ufcstats.com/fighter-details/c21a036b4e012f1c,5.57,51.0,4.02,69.0,0.0,0.0,89.0,0.0,18.0
Jarjis Danho,"6' 3""","74""",Orthodox,"Oct 15, 1983",http://ufcstats.com/fighter-details/8614b7134913f5d5,3.38,50.0,5.25,49.0,0.51,16.0,100.0,0.0,3.0
Yorgan De Castro,"6' 0""","74""",Orthodox,"Dec 19, 1986",http://ufcstats.com/fighter-details/1eff7bc0f815b270,2.46,43.0,3.85,53.0,0.0,0.0,77.0,0.0,5.0
Hunter Azure,"5' 8""","69""",Orthodox,"Mar 02, 1992",http://ufcstats.com/fighter-details/2af2f2e26c4c0402,3.92,53.0,2.08,58.0,1.97,34.0,67.0,1.3,5.0
Jordan Griffin,"5' 10""","73""",Southpaw,"Feb 28, 1990",http://ufcstats.com/fighter-details/ebef46976554f975,2.52,46.0,3.02,50.0,1.45,35.0,42.0,1.9,6.0
Francis Ngannou,"6' 4""","83""",Orthodox,"Sep 05, 1986",http://ufcstats.com/fighter-details/8d03ce87ca14e778,2.54,41.0,2.04,45.0,0.2,33.0,72.0,0.4,14.0
Stipe Miocic,"6' 4""","80""",Orthodox,"Aug 19, 1982",http://ufcstats.com/fighter-details/d28dee5c705991df,4.82,53.0,3.82,54.0,1.86,34.0,68.0,0.0,18.0
Tyron Woodley,"5' 9""","74""",Orthodox,"Apr 07, 1982",http://ufcstats.com/fighter-details/effd9de9937996f8,2.36,48.0,2.76,54.0,1.06,40.0,87.0,0.4,25.0
Thomas Almeida,"5' 7""","70""",Southpaw,"Jul 31, 1991",http://ufcstats.com/fighter-details/2b074403b7c6cdb4,4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,10.0
Abubakar Nurmagomedov,"5' 11""","72""",Orthodox,"Nov 13, 1989",http://ufcstats.com/fighter-details/029e1293e609fd74,3.59,49.0,2.52,69.0,1.68,33.0,0.0,0.0,2.0
Shane Young,"5' 8""","72""",Orthodox,"Jul 31, 1993",http://ufcstats.com/fighter-details/4cd8b03aee1d0138,5.22,40.0,5.01,55.0,0.8,23.0,56.0,0.0,5.0
Abu Azaitar,"5' 9""","76""",Orthodox,"Mar 10, 1986",http://ufcstats.com/fighter-details/46d0a888d87d91ac,5.21,44.0,5.35,50.0,0.5,25.0,40.0,0.0,2.0
Song Kenan,"6' 0""","71""",Orthodox,"Mar 10, 1990",http://ufcstats.com/fighter-details/32490e80ddab1e5a,4.39,46.0,4.37,54.0,0.0,0.0,50.0,0.0,6.0
Jesse Strader,"5' 7""","70""",Orthodox,"May 29, 1991",http://ufcstats.com/fighter-details/8c39367b53eadf8a,7.12,56.0,7.63,42.0,0.0,0.0,0.0,0.0,2.0
Gavin Tucker,"5' 6""","66""",Southpaw,"Jun 17, 1986",http://ufcstats.com/fighter-details/da816417a579a0bd,4.39,45.0,4.28,57.0,2.98,42.0,53.0,1.5,6.0
Marcelo Rojo,"5' 8""","71""",Orthodox,"Jul 02, 1988",http://ufcstats.com/fighter-details/2804ce8dadab5770,5.1,36.0,7.3,51.0,1.03,50.0,100.0,0.0,2.0
Ray Rodriguez,"5' 7""","70""",Orthodox,"Dec 10, 1987",http://ufcstats.com/fighter-details/90e0985df05e51bc,0.9,27.0,3.89,40.0,1.42,50.0,44.0,0.0,3.0
Megan Anderson,"6' 0""","72""",Orthodox,"Feb 11, 1990",http://ufcstats.com/fighter-details/a0e75f4a13eb73f1,1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,6.0
Aljamain Sterling,"5' 7""","71""",Orthodox,"Jul 31, 1989",http://ufcstats.com/fighter-details/cb696ebfb6598724,4.84,49.0,2.2,63.0,1.77,24.0,41.0,0.9,15.0
Aleksandar Rakic,"6' 4""","78""",Orthodox,"Feb 06, 1992",http://ufcstats.com/fighter-details/333b9e5c723ac873,4.23,52.0,2.23,52.0,0.75,25.0,90.0,0.2,8.0
Askar Askarov,"5' 6""","67""",Orthodox,"Oct 09, 1992",http://ufcstats.com/fighter-details/b1d19449397541dc,3.37,55.0,2.65,56.0,2.75,28.0,64.0,0.0,5.0
Joseph Benavidez,"5' 4""","65""",Southpaw,"Jul 31, 1984",http://ufcstats.com/fighter-details/80eacd4da0617c57,3.52,34.0,2.67,61.0,1.41,30.0,62.0,0.6,29.0
Jordan Espinosa,"5' 6""","69""",Orthodox,"Nov 08, 1989",http://ufcstats.com/fighter-details/215a70f073a7b726,4.22,52.0,2.94,57.0,0.75,28.0,70.0,0.2,8.0
Carlos Ulberg,"6' 4""","77""",Orthodox,"Nov 07, 1990",http://ufcstats.com/fighter-details/9014c02eff8b3d62,15.07,62.0,8.6,47.0,0.0,0.0,100.0,0.0,3.0
Jake Matthews,"5' 11""","73""",Orthodox,"Aug 19, 1994",http://ufcstats.com/fighter-details/a845f0735bc67405,3.03,44.0,2.16,61.0,1.93,41.0,66.0,0.6,15.0
Aalon Cruz,"6' 0""","78""",Switch,"Sep 20, 1989",http://ufcstats.com/fighter-details/003d82fa384ca1d0,7.58,39.0,8.88,58.0,0.0,0.0,0.0,0.0,3.0
Mario Bautista,"5' 9""","69""",Switch,"Jul 01, 1993",http://ufcstats.com/fighter-details/bc711b6dd95c1af6,5.71,45.0,4.78,54.0,0.48,33.0,70.0,0.0,4.0
Nikita Krylov,"6' 3""","77""",Orthodox,"Mar 07, 1992",http://ufcstats.com/fighter-details/1091d4d957141094,4.33,56.0,2.52,43.0,1.34,33.0,55.0,1.3,14.0
Jimmie Rivera,"5' 4""","68""",Orthodox,"Jun 29, 1989",http://ufcstats.com/fighter-details/9c907996820d2d69,4.03,40.0,3.9,60.0,0.88,27.0,92.0,0.1,11.0
Ronnie Lawrence,"5' 8""","68""",Switch,"Jun 13, 1992",http://ufcstats.com/fighter-details/e7e01e266a9d4342,3.8,58.0,1.09,61.0,10.86,76.0,100.0,0.5,3.0
Vince Cachero,"5' 6""","68""",Orthodox,"Nov 07, 1989",http://ufcstats.com/fighter-details/ed2a8cc402173781,3.29,45.0,6.51,43.0,0.0,0.0,18.0,0.5,2.0
Maxim Grishin,"6' 3""","78""",Orthodox,"May 02, 1984",http://ufcstats.com/fighter-details/950d0ef5c17157c5,2.95,44.0,2.33,56.0,0.38,33.0,66.0,0.0,4.0
John Castaneda,"5' 6""","71""",Switch,"Dec 18, 1991",http://ufcstats.com/fighter-details/5fa2974cbd18e05c,4.17,49.0,5.07,55.0,0.86,25.0,60.0,0.0,3.0
Eddie Wineland,"5' 7""","69""",Orthodox,"Jun 26, 1984",http://ufcstats.com/fighter-details/fc9a9559a05f2704,3.4,29.0,3.66,69.0,0.34,33.0,86.0,0.1,22.0
Shana Dobson,"5' 6""","69""",Orthodox,"Mar 30, 1989",http://ufcstats.com/fighter-details/122ac9b816d8b71c,3.34,37.0,5.2,50.0,0.84,50.0,14.0,0.0,6.0
Aiemann Zahabi,"5' 8""","68""",Orthodox,"Nov 19, 1987",http://ufcstats.com/fighter-details/24656ef4d605c96f,2.82,40.0,3.91,65.0,0.33,16.0,72.0,0.0,4.0
Alexa Grasso,"5' 5""","66""",Orthodox,"Aug 09, 1993",http://ufcstats.com/fighter-details/e8b731feff72294b,4.96,43.0,3.61,64.0,0.28,40.0,60.0,0.6,9.0
Anthony Hernandez,"6' 0""","75""",Orthodox,"Oct 18, 1993",http://ufcstats.com/fighter-details/093e1f5bb73850be,4.92,55.0,5.09,47.0,3.76,66.0,70.0,1.9,5.0
Polyana Viana,"5' 5""","67""",Orthodox,"Jun 14, 1992",http://ufcstats.com/fighter-details/9673a497a9da119a,3.71,41.0,3.01,54.0,1.12,33.0,50.0,3.4,6.0
Gabe Green,"5' 10""","73""",Switch,"May 02, 1993",http://ufcstats.com/fighter-details/5eb50529a8418b77,6.57,46.0,7.23,49.0,1.0,100.0,57.0,0.5,2.0
Alistair Overeem,"6' 4""","80""",Orthodox,"May 17, 1980",http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,3.67,64.0,2.44,57.0,1.42,55.0,73.0,0.8,50.0
Michael Johnson,"5' 10""","73""",Southpaw,"Jun 04, 1986",http://ufcstats.com/fighter-details/511e82663651438d,4.21,38.0,3.82,58.0,0.49,45.0,77.0,0.1,24.0
Martin Day,"5' 10""","73""",Orthodox,"Nov 10, 1988",http://ufcstats.com/fighter-details/ea3dcc417c322064,3.97,45.0,3.79,53.0,0.72,60.0,65.0,0.5,5.0
Antonio Carlos Junior,"6' 2""","79""",Orthodox,"Mar 16, 1990",http://ufcstats.com/fighter-details/52e76bb4b3e852f3,1.95,42.0,2.14,52.0,3.42,39.0,53.0,0.8,13.0
Sara McMann,"5' 6""","66""",Orthodox,"Sep 24, 1980",http://ufcstats.com/fighter-details/7be74a12d7352df2,2.32,45.0,1.94,48.0,4.41,65.0,50.0,0.5,17.0
Nik Lentz,"5' 8""","68""",Orthodox,"Aug 13, 1984",http://ufcstats.com/fighter-details/6fb1ba67bef41b37,3.44,47.0,3.25,50.0,3.3,32.0,43.0,1.2,25.0
Amir Albazi,"5' 5""","68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241,4.06,40.0,3.15,58.0,2.28,75.0,66.0,0.8,2.0
Mounir Lazzez,"6' 1""","76""",Orthodox,"Nov 16, 1987",http://ufcstats.com/fighter-details/49ee5024966efc0d,5.69,55.0,4.78,45.0,3.41,100.0,60.0,0.0,2.0
Vinicius Moreira,"6' 4""","76""",Orthodox,"Feb 28, 1989",http://ufcstats.com/fighter-details/acb36c908d415c4a,3.15,59.0,5.07,43.0,1.97,18.0,0.0,1.3,5.0
Tyson Nam,"5' 7""","68""",Orthodox,"Oct 06, 1983",http://ufcstats.com/fighter-details/6e00cfffd54653c4,3.64,31.0,5.69,64.0,0.0,0.0,100.0,0.0,5.0
Tom Breese,"6' 3""","73""",Southpaw,"Sep 26, 1991",http://ufcstats.com/fighter-details/1588b787bda7b540,3.34,50.0,2.81,60.0,0.0,0.0,70.0,1.1,8.0
Sumudaerji,"5' 8""","72""",Southpaw,"Jan 20, 1996",http://ufcstats.com/fighter-details/3cf18e01cb6cbde3,4.49,51.0,2.19,68.0,0.4,100.0,77.0,0.8,4.0
Markus Perez,"6' 1""","73""",Orthodox,"Jun 22, 1988",http://ufcstats.com/fighter-details/2ac4628c08ec5125,2.6,47.0,3.72,52.0,0.81,25.0,77.0,1.0,7.0
Mike Davis,"6' 0""","72""",Orthodox,"Oct 07, 1992",http://ufcstats.com/fighter-details/fb3e61720be4690c,6.24,53.0,6.76,57.0,1.39,33.0,69.0,0.0,4.0
Umar Nurmagomedov,"5' 8""",--,Orthodox,"Mar 01, 1996",http://ufcstats.com/fighter-details/2b6fc1c02736833d,2.89,60.0,0.81,76.0,8.67,45.0,0.0,1.7,1.0
Wu Yanan,"5' 8""","66""",Orthodox,"Apr 18, 1996",http://ufcstats.com/fighter-details/fdbefee0827e1567,4.51,45.0,4.82,51.0,0.61,22.0,66.0,0.3,4.0
Vanessa Melo,"5' 5""","65""",Orthodox,"Mar 27, 1988",http://ufcstats.com/fighter-details/9b7dfb3b7d99926a,3.48,30.0,6.13,59.0,0.0,0.0,71.0,0.0,4.0
Sarah Moras,"5' 7""","67""",Orthodox,"Apr 30, 1988",http://ufcstats.com/fighter-details/539ed332b3078821,2.28,34.0,3.58,50.0,0.67,21.0,33.0,0.8,9.0
Jacob Kilburn,"5' 9""","72""",Orthodox,"Jun 28, 1995",http://ufcstats.com/fighter-details/637bd06c32219f0b,2.56,33.0,6.78,35.0,0.51,5.0,20.0,0.5,3.0
Anthony Pettis,"5' 10""","72""",Orthodox,"Jan 27, 1987",http://ufcstats.com/fighter-details/cbb682f5fcc44bfc,3.05,47.0,3.44,54.0,0.61,50.0,60.0,1.1,26.0
Deron Winn,"5' 6""","70""",Orthodox,"Jun 13, 1989",http://ufcstats.com/fighter-details/483a953b18d73bb3,4.74,47.0,5.17,50.0,4.98,52.0,0.0,0.0,4.0
Jimmy Flick,"5' 7""","68""",Orthodox,"Sep 07, 1990",http://ufcstats.com/fighter-details/09e62c450e754913,1.99,58.0,2.3,50.0,1.81,50.0,0.0,7.2,2.0
Carlton Minus,"5' 10""","75""",Orthodox,"Apr 26, 1993",http://ufcstats.com/fighter-details/40d8b74488743800,3.5,40.0,4.97,50.0,0.0,0.0,58.0,0.0,2.0
Junior Dos Santos,"6' 4""","77""",Orthodox,"Jan 30, 1984",http://ufcstats.com/fighter-details/63def5a5662a6917,4.49,47.0,3.33,56.0,0.3,50.0,81.0,0.1,23.0
Peter Barrett,"5' 10""","73""",Southpaw,"Aug 10, 1986",http://ufcstats.com/fighter-details/d21113c9ff3788ae,4.18,61.0,4.32,42.0,1.39,22.0,66.0,0.0,3.0
Matt Wiman,"5' 10""","68""",Orthodox,"Sep 19, 1983",http://ufcstats.com/fighter-details/eb29176b03dfa888,3.17,50.0,3.57,51.0,2.13,37.0,56.0,1.5,18.0
Jose Quinonez,"5' 8""","69""",Southpaw,"Jul 28, 1990",http://ufcstats.com/fighter-details/36549928f90f1d36,3.6,45.0,3.0,64.0,2.7,47.0,42.0,0.6,9.0
Takashi Sato,"5' 10""","73""",Southpaw,"Jun 09, 1990",http://ufcstats.com/fighter-details/8abac218746e04ca,3.16,37.0,4.81,50.0,0.53,50.0,75.0,0.0,4.0
Spike Carlyle,"5' 8""","71""",Switch,"May 06, 1993",http://ufcstats.com/fighter-details/be68b375707dcb85,2.55,54.0,3.85,30.0,3.34,36.0,57.0,0.5,3.0
Ashlee Evans-Smith,"5' 8""","67""",Orthodox,"Jul 09, 1987",http://ufcstats.com/fighter-details/fc6e681bf6658faf,4.54,34.0,4.69,55.0,1.1,23.0,66.0,0.0,8.0
Rachael Ostovich,"5' 3""","62""",Orthodox,"Feb 25, 1991",http://ufcstats.com/fighter-details/01784fbc27c68b14,2.54,43.0,3.97,57.0,2.03,83.0,66.0,0.8,4.0
Alex Perez,"5' 6""","65""",Orthodox,"Mar 21, 1992",http://ufcstats.com/fighter-details/ab2b4ff41d6ebe0f,4.62,47.0,3.08,61.0,2.92,45.0,87.0,1.3,10.0
Mauricio Rua,"6' 1""","76""",Orthodox,"Nov 25, 1981",http://ufcstats.com/fighter-details/140745cbbcb023ac,3.57,50.0,2.71,54.0,2.12,48.0,47.0,0.8,40.0
Alan Jouban,"6' 0""","73""",Southpaw,"Nov 25, 1981",http://ufcstats.com/fighter-details/cf65d56b0755ed3b,5.67,50.0,3.77,60.0,0.51,44.0,58.0,0.3,13.0
Louis Cosce,"5' 9""","71""",Orthodox,"Aug 27, 1995",http://ufcstats.com/fighter-details/afe8d5b39ff7fca2,8.22,48.0,9.3,48.0,1.07,11.0,0.0,0.0,2.0
Rafael Dos Anjos,"5' 8""","70""",Southpaw,"Oct 26, 1984",http://ufcstats.com/fighter-details/6a2f7c151031653d,3.49,46.0,3.22,61.0,1.93,37.0,58.0,0.6,31.0
Paul Felder,"5' 11""","70""",Orthodox,"Apr 25, 1984",http://ufcstats.com/fighter-details/e5010b1b94ca5755,3.7,44.0,3.44,48.0,0.29,28.0,64.0,0.2,15.0
Miranda Granger,"5' 7""","68""",Orthodox,"Apr 13, 1992",http://ufcstats.com/fighter-details/7559395ad833c074,2.91,48.0,2.64,59.0,0.0,0.0,40.0,0.0,3.0
Cory McKenna,"5' 3""","58""",Orthodox,"Nov 07, 1999",http://ufcstats.com/fighter-details/3351aa64aa83c4d9,3.47,44.0,3.03,45.0,0.5,50.0,71.0,0.0,2.0
Kay Hansen,"5' 2""","63""",Orthodox,"Aug 14, 1999",http://ufcstats.com/fighter-details/4100c7a09497ad41,3.57,59.0,3.03,54.0,2.19,25.0,100.0,1.6,3.0
Geraldo de Freitas,"5' 7""","72""",Orthodox,"Sep 30, 1991",http://ufcstats.com/fighter-details/9cfbfae5fa1fdd93,3.67,52.0,2.62,50.0,3.0,45.0,59.0,0.0,3.0
Rhys McKee,"6' 2""","78""",Orthodox,"Sep 10, 1995",http://ufcstats.com/fighter-details/f748267c4ab6c127,6.83,53.0,11.9,43.0,0.0,0.0,20.0,0.0,2.0
Claudia Gadelha,"5' 4""","63""",Orthodox,"Dec 07, 1988",http://ufcstats.com/fighter-details/ec34349e7dffcde7,3.31,41.0,4.57,57.0,3.03,42.0,58.0,0.7,12.0
Bevon Lewis,"6' 3""","79""",Orthodox,"May 05, 1991",http://ufcstats.com/fighter-details/899923ff6ab13917,3.73,43.0,2.67,54.0,0.0,0.0,66.0,0.0,6.0
Eduardo Garagorri,"5' 9""","70""",Orthodox,"May 28, 1989",http://ufcstats.com/fighter-details/7bde387d50829adf,3.42,51.0,2.36,58.0,0.48,100.0,61.0,0.0,3.0
Anderson Silva,"6' 2""","77""",Southpaw,"Apr 14, 1975",http://ufcstats.com/fighter-details/1f454354805b6f75,3.05,61.0,2.05,60.0,0.5,77.0,69.0,0.8,43.0
Bryce Mitchell,"5' 10""","70""",Southpaw,"Oct 04, 1994",http://ufcstats.com/fighter-details/d9c6f19f958643e9,2.29,61.0,1.46,60.0,3.26,46.0,33.0,2.3,5.0
Jack Marshman,"6' 0""","73""",Orthodox,"Dec 19, 1989",http://ufcstats.com/fighter-details/045f25b3a4c08e81,2.74,25.0,4.19,56.0,0.0,0.0,20.0,0.0,8.0
Cole Williams,"6' 0""","73""",Orthodox,"Dec 15, 1983",http://ufcstats.com/fighter-details/f9a20a17d712ef7c,0.31,27.0,5.34,23.0,0.0,0.0,25.0,0.0,2.0
Justin Ledet,"6' 4""","80""",Orthodox,"Sep 28, 1988",http://ufcstats.com/fighter-details/ba1e6cb3d43f7430,3.35,39.0,4.82,49.0,0.23,50.0,42.0,0.2,7.0
Khabib Nurmagomedov,"5' 10""","70""",Orthodox,"Sep 20, 1988",http://ufcstats.com/fighter-details/032cc3922d871c7f,4.1,48.0,1.75,65.0,5.32,48.0,84.0,0.8,13.0
Liliya Shakirova,"5' 4""","65""",Orthodox,"Oct 24, 1991",http://ufcstats.com/fighter-details/f300763147320d12,2.7,30.0,2.58,74.0,0.0,0.0,0.0,0.0,1.0
Stefan Struve,"6' 11""","84""",Orthodox,"Feb 18, 1988",http://ufcstats.com/fighter-details/ebc1f40e00e0c481,3.12,47.0,4.04,46.0,0.56,46.0,55.0,1.7,24.0
Nathaniel Wood,"5' 6""","69""",Orthodox,"May 08, 1993",http://ufcstats.com/fighter-details/329e403448756217,6.28,46.0,4.36,53.0,1.29,46.0,75.0,0.9,6.0
Alexander Yakovlev,"6' 3""","74""",Southpaw,"Jul 18, 1984",http://ufcstats.com/fighter-details/d06f8869449ba7bd,1.74,47.0,2.41,58.0,1.66,35.0,72.0,0.1,9.0
James Krause,"6' 2""","73""",Orthodox,"Jun 04, 1986",http://ufcstats.com/fighter-details/8f6a18831a120817,4.79,49.0,4.11,61.0,0.96,18.0,59.0,0.9,15.0
Guram Kutateladze,"5' 11""","72""",Orthodox,"Jan 08, 1992",http://ufcstats.com/fighter-details/7772b283d288dbe2,2.47,43.0,3.47,58.0,0.0,0.0,68.0,0.0,1.0
John Phillips,"5' 11""","75""",Southpaw,"Jun 09, 1985",http://ufcstats.com/fighter-details/e9ac7bfb65c25497,1.72,34.0,4.03,49.0,0.0,0.0,7.0,0.0,6.0
Gadzhimurad Antigulov,"5' 11""","70""",Orthodox,"Feb 09, 1987",http://ufcstats.com/fighter-details/af997f7611673880,2.08,55.0,4.21,40.0,5.08,36.0,0.0,1.4,6.0
Said Nurmagomedov,"5' 8""","70""",Orthodox,"Apr 05, 1992",http://ufcstats.com/fighter-details/0fd5f4b838e890cc,4.65,46.0,2.37,60.0,0.45,7.0,71.0,0.0,5.0
Mark Striegl,"5' 8""","70""",Southpaw,"Jun 23, 1988",http://ufcstats.com/fighter-details/ef1182eb28c17d4e,3.53,42.0,21.18,25.0,0.0,0.0,0.0,0.0,2.0
Ali AlQaisi,"5' 6""","68""",Orthodox,"Sep 23, 1990",http://ufcstats.com/fighter-details/e87a13e02c01331d,2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,2.0
Holly Holm,"5' 8""","69""",Southpaw,"Oct 17, 1981",http://ufcstats.com/fighter-details/634e2fb70bde3fd5,3.16,38.0,2.8,57.0,0.81,30.0,76.0,0.1,12.0
Germaine de Randamie,"5' 9""","71""",Orthodox,"Apr 24, 1984",http://ufcstats.com/fighter-details/1d239d571e342453,2.72,46.0,2.14,65.0,0.0,0.0,69.0,0.4,12.0
Cameron Else,"5' 9""","71""",Switch,"Apr 27, 1987",http://ufcstats.com/fighter-details/5f3da9a9610d8969,1.92,36.0,5.58,58.0,0.0,0.0,0.0,0.0,1.0
Dequan Townsend,"6' 3""","79""",Orthodox,"May 11, 1986",http://ufcstats.com/fighter-details/3f7dab21b6c971bc,1.23,34.0,3.92,38.0,0.0,0.0,46.0,0.0,4.0
Jessin Ayari,"6' 0""","73""",Orthodox,"May 31, 1992",http://ufcstats.com/fighter-details/6eaec40f724852f4,3.53,37.0,3.59,58.0,0.0,0.0,50.0,0.3,4.0
Alex Da Silva,"5' 8""","73""",Orthodox,"Feb 04, 1996",http://ufcstats.com/fighter-details/c3ded6f7155f9ea4,2.07,46.0,2.65,55.0,2.75,43.0,77.0,0.4,3.0
Diego Sanchez,"5' 10""","72""",Southpaw,"Dec 31, 1981",http://ufcstats.com/fighter-details/82e7929bf6c2b689,2.69,37.0,3.02,56.0,1.51,24.0,46.0,0.8,35.0
Jeff Hughes,"6' 2""","77""",Orthodox,"May 17, 1988",http://ufcstats.com/fighter-details/6a11e325aa60ad02,3.95,51.0,3.67,60.0,0.71,50.0,45.0,0.0,5.0
Khadis Ibragimov,"6' 3""","78""",Orthodox,"May 21, 1995",http://ufcstats.com/fighter-details/c3218c810959d279,3.55,49.0,4.26,47.0,0.97,30.0,80.0,0.3,4.0
Mirsad Bektic,"5' 8""","70""",Orthodox,"Feb 16, 1991",http://ufcstats.com/fighter-details/cbd3e590a85b18c5,2.43,41.0,1.8,57.0,3.98,52.0,92.0,0.4,10.0
Mara Romero Borella,"5' 6""","69""",Orthodox,"Jun 03, 1986",http://ufcstats.com/fighter-details/82cbb809d5ee565c,2.54,37.0,2.48,71.0,1.83,44.0,66.0,0.2,7.0
